0,21
1,21
2,25
3,28
4,38
5,44
6,48
7,54
8,63
9,67
10,74
11,82
12,92
13,122
14,128
15,140
16,156
17,159
18,166
19,172
20,186
21,190
22,198
23,212
24,226
25,248
26,254
27,261
28,275
29,287
30,290
31,295
32,301
33,308
34,313
35,324
36,336
37,352
38,355
39,361
40,363
41,370
42,374
43,380
44,385
45,387
46,389
47,393
48,400
49,412
50,414
51,417
52,418
53,420
54,421
55,423
56,427
57,429
58,433
59,436
60,441
61,449
62,450
63,450
64,450
65,451
66,451
67,452
68,454
69,455
70,455
71,455
72,458
73,459
74,459
75,459
76,460
77,460
78,460
79,460
80,461
81,461
82,462
83,462
84,462
85,463
86,463
87,463
88,463
89,463
90,463
91,463
92,463
93,464
94,464
95,464
96,464
97,464
