0,7
1,13
2,15
3,17
4,21
5,23
6,24
7,30
8,35
9,36
10,40
11,45
12,56
13,64
14,70
15,75
16,84
17,86
18,91
19,96
20,104
21,108
22,117
23,126
24,135
25,147
26,153
27,161
28,165
29,171
30,173
31,179
32,188
33,191
34,199
35,210
36,218
37,222
38,231
39,239
40,251
41,257
42,260
43,267
44,275
45,280
46,288
47,306
48,321
49,336
50,343
51,360
52,367
53,379
54,385
55,395
56,409
57,416
58,428
59,445
60,462
61,485
62,491
63,506
64,529
65,537
66,543
67,555
68,563
69,571
70,582
71,595
72,617
73,628
74,637
75,644
76,657
77,666
78,671
79,682
80,693
81,703
82,719
83,734
84,750
85,766
86,774
87,784
88,795
89,803
90,808
91,818
92,824
93,836
94,843
95,850
96,862
97,874
98,880
99,886
100,899
101,905
102,905
103,910
104,914
105,916
106,923
107,929
108,937
109,943
