0,11
1,11
2,13
3,15
4,16
5,17
6,20
7,23
8,25
9,26
10,27
11,28
12,28
13,32
14,32
15,33
16,35
17,37
18,37
19,37
20,37
21,37
22,37
23,38
24,38
25,38
26,39
27,39
28,41
29,42
30,42
31,42
32,42
33,42
34,42
35,43
36,43
37,45
38,45
39,45
40,45
41,45
42,45
43,45
44,45
45,45
46,45
47,45
48,46
49,47
50,47
51,47
52,47
53,47
54,47
55,48
56,49
57,49
58,49
59,49
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,51
83,51
84,51
85,51
86,51
87,51
88,51
89,51
90,51
91,51
92,51
93,51
94,51
95,51
96,51
97,51
