0,1705928
1,2244284
2,2493016
3,2968050
4,3510870
5,3969770
6,4517834
7,5130331
8,6039927
9,6896375
10,7488826
11,8545269
12,13725422
13,16577920
14,18070594
15,20408829
16,22432788
17,25263439
18,27929760
19,30253169
20,33675553
21,36979279
22,39617832
23,43321738
24,49577781
25,53319450
26,55774544
27,59250399
28,61969084
29,64700346
30,67019258
31,69212181
32,71977502
33,74015759
34,75498919
35,78531115
36,83306920
37,85958324
38,87147834
39,88723542
40,89789227
41,91295826
42,92418448
43,94772956
44,96658379
45,99326170
46,100837640
47,103302357
48,107087557
49,110014967
50,111488924
51,113066908
52,114640504
53,116259159
54,117473357
55,122181748
56,123942712
57,127336759
58,129978649
59,131568768
60,135976216
61,138125988
62,139526972
63,140926142
64,142680324
65,143944355
66,144856080
67,147162025
68,148183959
69,152889916
70,154091813
71,155107037
72,158752728
73,159753162
74,160555047
75,161377234
76,162157875
77,162652984
78,163122212
79,163591016
80,164299446
81,164739361
82,165002110
83,165411269
84,166559640
85,166964783
86,167177507
87,167686836
88,167892839
89,168080062
90,170170504
91,170739076
92,171171266
93,171337163
94,171457827
95,171585154
96,171808327
97,171961572
98,172042780
99,172111549
100,172169170
101,172233433
102,172278582
103,172326686
104,172393801
105,172431853
106,172465006
107,172487362
108,172525153
