0,10
1,11
2,11
3,15
4,18
5,19
6,22
7,25
8,25
9,26
10,29
11,34
12,37
13,38
14,38
15,41
16,44
17,45
18,46
19,48
20,49
21,52
22,54
23,55
24,62
25,62
26,64
27,66
28,68
29,70
30,74
31,79
32,80
33,81
34,84
35,87
36,89
37,90
38,93
39,95
40,97
41,97
42,103
43,107
44,109
45,109
46,112
47,114
48,116
49,117
50,117
51,118
52,120
53,120
54,121
55,121
56,122
57,123
58,124
59,124
60,127
61,127
62,129
63,131
64,132
65,132
66,132
67,134
68,134
69,136
70,137
71,139
72,141
73,141
74,141
75,141
76,142
77,143
